eventID,occurrenceID,basisOfRecord,eventDate,kingdom,Order,scientificName,Commonname,taxonRank,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,Latitude,Longitude,geodeticDatum,countryCode,,,
N3TIT_A,N3TIT_A3,Human_observation,10/09/2025,Animalia ,Lepidoptera ,Xestia_xanthographa ,Square_spot_rustic ,Species ,2,2,Individual,Present ,N55 42.253,W005 16.755,WGS84,GB,,,
N3TIT_A,N3TIT_A4,Human_observation,10/09/2025,Animalia ,Diptera,Limoniidae,Crane_fly ,Family,3,3,Individual,Present ,N55 42.253,W005 16.755,WGS84,GB,,,
N3TIT_A,N3TIT_A5,Human_observation,10/09/2025,Animalia ,Araneae,Linyphiidae,Money_spider,Family ,1,1,Individual,Present ,N55 42.253,W005 16.755,WGS84,GB,,,
N3TIT_A,N3TIT_A6,Human_observation,10/09/2025,Animalia ,Hemiptera,Rhopalidae,Scentless_plant_bugs,Family,1,1,Individual,Present ,N55 42.253,W005 16.755,WGS84,GB,,,
N3TIT_A,N3TIT_A7,Human_observation,10/09/2025,Animalia ,Lepidoptera ,Agrius_convolvuli,Convolvulus_hawk_moth,Species ,1,1,Individual,Present ,N55 42.253,W005 16.755,WGS84,GB,,,
N3TIT_A,N3TIT_A8,Human_observation,10/09/2025,Animalia ,Lepidoptera ,Tipulidae,Crane_fly ,Family,1,1,Individual,Present ,N55 42.253,W005 16.755,WGS84,GB,,,
N3TIT_A,N3TIT_A9,Human_observation,10/09/2025,Animalia ,Hymenoptera,Ophion_sp,Parasitic_wasps,Genus ,2,2,Individual,Present ,N55 42.253,W005 16.755,WGS84,GB,,,
N3TIT_A,N3TIT_A10,Human_observation,10/09/2025,Animalia ,Trichoptera ,Limnephilus_lunatus,Cinnamon_sedge_caddisfly,Species ,1,1,Individual,Present ,N55 42.253,W005 16.755,WGS84,GB,,,
N3TIT_J,N3TIT_J1,Human_observation,11/09/2025,Animalia ,Lepidoptera ,Aporophyla_nigra ,Black_rustic ,Species,1,1,Individual,Present ,N55 42.061,W005 16.371,WGS84,GB,,,
N3TIT_J,N3TIT_J2,Human_observation,11/09/2025,Animalia ,Lepidoptera ,Xestia_xanthographa ,Square_spot_rustic ,Species,5,5,Individual,Present ,N55 42.061,W005 16.371,WGS84,GB,,,
N3TIT_J,N3TIT_J3,Human_observation,11/09/2025,Animalia ,Trichoptera ,Trichoptera,Caddis_fly,Order,1,1,Individual,Present ,N55 42.061,W005 16.371,WGS84,GB,,,
N3TIT_J,N3TIT_J4,Human_observation,11/09/2025,Animalia ,Lepidoptera ,Euxoa_nigricans,Garden_dart,Species,1,1,Individual,Present ,N55 42.061,W005 16.371,WGS84,GB,,,
N3TIT_J,N3TIT_J5,Human_observation,11/09/2025,Animalia ,Diptera,Tipuloidea,Crane_fly ,Super_family,4,4,Individual,Present ,N55 42.061,W005 16.371,WGS84,GB,,,
N3TIT_J,N3TIT_J6,Human_observation,11/09/2025,Animalia ,Diptera,Culicidae,Mosquito,Family ,1,1,Individual,Present ,N55 42.061,W005 16.371,WGS84,GB,,,
N3TIT_J,N3TIT_J7,Human_observation,11/09/2025,Animalia ,Diptera,Diptera ,Fly,Family,1,1,Individual,Present ,N55 42.061,W005 16.371,WGS84,GB,,,
N3TIT_J,N3TIT_J8,Human_observation,11/09/2025,Animalia ,Lepidoptera ,Colostygia_pectinataria,Green_carpet_moth,Species,1,1,Individual,Present ,N55 42.061,W005 16.371,WGS84,GB,,,
N3TIT_J,N3TIT_J9,Human_observation,11/09/2025,Animalia ,Lepidoptera ,Cardrina_morpheus,Mottled_rustic,Species,1,1,Individual,Present ,N55 42.061,W005 16.371,,,,,
